City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,nhulunbuy,-12.2333,136.7667,28.34,78,40,3.6,AU,1676170668
130,alofi,-19.0595,-169.9187,26.94,78,100,3.09,NU,1676170668
131,skjervoy,70.0311,20.9714,-1.0,67,100,8.44,NO,1676170668
132,husavik,66.0449,-17.3389,1.58,67,22,15.63,IS,1676170669
133,praxedis guerrero,31.3667,-106.0167,12.2,18,100,4.48,MX,1676170669
134,mandera,3.9366,41.867,22.3,51,0,2.39,KE,1676170670
135,serowe,-22.3833,26.7167,19.38,92,92,3.88,BW,1676170670
136,manono,-7.3,27.4167,20.97,97,98,0.55,CD,1676170670
137,hit,33.6416,42.8251,7.34,51,19,5.02,IQ,1676170671
138,tuatapere,-46.1333,167.6833,20.73,53,73,3.67,NZ,1676170671
139,chokurdakh,70.6333,147.9167,-34.96,94,100,1.7,RU,1676170672
140,georgetown,5.4112,100.3354,29.96,83,20,2.57,MY,1676170595
141,nome,64.5011,-165.4064,-16.96,66,0,3.09,US,1676170672
142,wuchang,44.9143,127.15,-10.1,80,11,2.08,CN,1676170672
143,naze,28.3667,129.4833,20.51,83,86,5.67,JP,1676170673
144,kodiak,57.79,-152.4072,1.73,80,40,4.12,US,1676170673
145,arraial do cabo,-22.9661,-42.0278,23.48,93,100,5.86,BR,1676170674
146,oshkosh,44.0247,-88.5426,1.05,62,0,5.14,US,1676170598
147,salalah,17.0151,54.0924,21.57,30,5,1.44,OM,1676170675
148,tutoia,-2.7619,-42.2744,25.78,88,48,4.17,BR,1676170675
149,wuwei,37.9281,102.6414,-2.58,48,100,1.45,CN,1676170675
150,jibuti,11.5,42.5,18.75,74,0,7.8,DJ,1676170676
151,sinnamary,5.3833,-52.95,24.62,88,51,5.38,GF,1676170676
152,mangan,27.5167,88.5333,16.54,62,49,1.52,IN,1676170677
153,katsuura,35.1333,140.3,15.31,60,91,7.53,JP,1676170677
154,srednekolymsk,67.45,153.6833,-31.39,88,100,1.37,RU,1676170678
155,cherskiy,68.75,161.3,-37.4,93,53,1.51,RU,1676170678
156,jiangyou,31.7667,104.7167,11.74,69,100,1.06,CN,1676170678
157,sorong,-0.8833,131.25,28.07,71,87,2.38,ID,1676170679
158,mount gambier,-37.8333,140.7667,19.31,43,1,5.2,AU,1676170580
159,saskylakh,71.9167,114.0833,-44.88,100,61,2.09,RU,1676170680
160,kjopsvik,68.097,16.3742,-0.07,94,100,5.54,NO,1676170680
161,mahebourg,-20.4081,57.7,24.58,83,20,0.0,MU,1676170680
162,piacabucu,-10.4056,-36.4344,25.18,83,100,3.78,BR,1676170398
163,natal,-5.795,-35.2094,24.36,88,20,2.57,BR,1676170443
164,alugan,12.2188,125.4808,27.56,68,7,5.55,PH,1676170681
165,kandi,11.1342,2.9386,22.6,11,0,2.77,BJ,1676170681
166,naron,43.5167,-8.1528,8.7,65,0,2.66,ES,1676170682
167,laguna,38.421,-121.4238,12.16,64,0,4.12,US,1676170682
